,FEAT,P_VALUE,LR_WEIGHT
161,ability,0.2631401572856876,0.0
162,able,0.33612686690557914,0.0
163,abroad,0.7555354291387655,0.0
164,absence,0.3549087737716523,0.0
165,absolute,0.6046687861914508,0.0
166,academic,0.39235103075131694,0.0
167,academy,0.03752227990016747,0.0
168,accept,0.25158374966879204,0.0
169,acceptance,0.6714729946139801,0.0
170,accepted,0.08838057530917162,0.0
171,accident,0.6269833489225008,0.0
172,acclaim,0.15804246030830338,0.0
173,acclaimed,0.6739864691159594,0.0
174,accompanied,0.21292349756469353,0.0
175,accomplished,0.6457006929597929,0.0
176,accomplishments,0.6501173467497674,0.0
177,account,0.03737930316655676,0.0
178,accounts,0.8140992477971858,0.0
179,accused,0.264673289878256,0.0
180,achieve,0.05147279226109215,0.0
181,achieved,0.09660022834005562,0.0
182,achievement,0.05036060405461405,0.0
183,achievements,0.13071772947881086,0.0
184,acknowledged,0.44957572270028956,0.0
185,acquaintance,0.38114352905121807,0.0
186,acquired,0.36138066364037835,0.0
187,acre,0.09119255932548759,0.0
188,acres,0.0028450687784097217,0.0
189,acted,0.07819087739584209,0.0
190,acting,0.27437437172455414,0.0
191,action,0.006170504776785911,0.0
192,actions,0.15804246030830338,0.0
193,active,0.14850294693742244,0.0
194,activities,0.30044109114480144,0.0
195,activity,0.37712857580149817,0.0
196,actor,0.06464339630696783,0.27057552131536505
197,actors,0.38202536644176366,0.0
198,actress,0.0006373212747394977,-0.19480766499924448
199,acts,0.8788688353746198,0.0
200,actual,0.1499830342260805,0.0
201,acute,0.13635684793705932,0.0
202,add,0.7736177397407451,0.0
203,adding,1.0,0.0
204,addition,0.23456175838977267,0.0
205,additional,1.0,0.0
206,address,0.8588837823825128,0.0
207,addressed,0.48828198844890924,0.0
208,administered,0.6999130789263011,0.0
209,administration,0.013029159221463114,0.0
210,administrative,0.6999130789263013,0.0
211,admiration,0.6046687861914508,0.0
212,admired,0.42200891295365006,0.0
213,admirers,1.0,0.0
214,admission,0.6501173467497674,0.0
215,admitted,0.08555222972746898,0.0
216,adult,0.5880655734709215,0.0
217,advance,0.017948060210621133,0.0
218,advanced,0.003593586379034014,0.0
219,advancement,1.0,0.0
