Voyage ID,Vessel name,Voyage ship place where vessel registered ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Percent men,Percent women,Percent children,Mortality rate,Captain's name,Resistance label
8209,"NS do [?], S Antônio e Almas",,Rio de Janeiro,Luanda,Rio de Janeiro,,1758,,,,,,"Silva, Francisco Rodrigues da",
8210,Santana e S Joaquim,,Rio de Janeiro,Luanda,Rio de Janeiro,,1759,,,,,,"Pacheco, Manoel",
8211,NS do Rosario S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1759,,,,,,"Braga, Rafael da Cunha",
8212,NS do Rosario e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1760,,,,,,"Rabelo, Caetano José",
8213,NS dos Prazeres e S Pedro Gonçalves,,Rio de Janeiro,Luanda,Rio de Janeiro,,1760,,,,,,"Marques, José Antônio",
8214,S Cruz,,Rio de Janeiro,Luanda,Rio de Janeiro,,1760,,,,,,"Miranda, Luís Monteiro de",
8215,NS da Conceição da Ponte e Bom Jesus das Portas,,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",505,1760,419,,,,0.17,"Souza, Roque Jacinto de<br/> Carvalho, Antônio de",
8216,S Francisco Borja S Margarida e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1760,,,,,,"Costa, Francisco Luís da",
8217,NS da Conceição S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1761,,,,,,"Bastos, Manoel Gonçalves",
8218,NS da Boa Viagem e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1761,,,,,,"Franco, Feliciano Gomes da Costa",
8219,NS de Guadalupe Santana S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1762,,,,,,"Lisboa, Vitorino Rodrigues",
8220,S Margarida e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1764,,,,,,"Silva, João da",
8221,NS da Boa Viagem e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1766,,,,,,"Leal, Manoel Caetano",
8222,NS da Piedade e S Cristo,,Rio de Janeiro,Luanda,Rio de Janeiro,,1767,,,,,,"Ferreira, José Caetano",
8223,NS da Barroquinha,,Rio de Janeiro,Luanda,Rio de Janeiro,,1768,,,,,,"Pereira, Antônio José da Costa",
8224,NS da Atalaia e Bom Jesus das Portas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1769,,,,,,"Medeiros, Manoel de",
8225,S Felipe e S Rita,,Rio de Janeiro,Luanda,Rio de Janeiro,,1770,,,,,,"Santos, Antônio da Silva",
8226,S José NS dos Remédios e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1770,,,,,,,
8227,S Jorge,,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,,,,,,"Vale, Domingos de Souza",
8228,NS do Carmo S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1774,,,,,,"Nascimento, José Rodrigues do",
